id,text,date,likes,reposts,views
19954,"Приглашаем школьников на осенние каникулы в Национальном музее Карелии:  🎉29 октября  📎12:00 – «Северные поселенцы», билет - 200 рублей В игровой форме юные посетители смогут «освоить» глухую дикую тайгу, «построить» карельскую деревню: определят место для дома, бани, амбара и других необходимых для человека строений. Участники мероприятия узнают, на кого охотились наши предки, что выращивали, из чего готовили еду и шили одежду. 📎14:00 – «Юный охотник», билет - 200 рублей Участники занятия примерят на себя роль «древнего охотника»: им предстоит собраться на охоту, определиться с техникой лова животного, «подобрать» орудие лова, «прочитать» древние наскальные рисунки. Кроме этого, для удачного исхода охоты необходимо познакомиться с «шаманом» и выбрать вождя племени охотников.  🎉30 октября 📎12:00 – «Стежок за стежком», билет - 200 рублей На занятии посетители узнают, когда возникло и как развивалось золотошвейное искусство в Карелии, правда ли, что нити для него были золотыми, сколько времени требовалось чтоб создать золотный плат и кто этим занимался, зачем для вышивки нужны карты и многое другое.  📎14:00 – «По одёжке встречают», билет - 200 рублей Школьники познакомятся с традиционным костюмом Карелии и его секретами, примерят на себя копии старинной одежды, узнают, как обращаться с прялкой и веретеном, носить «воду» коромыслом, вычесывать шерсть щетками-кардами.  🎉31 октября 📎12:00 – «Музыкальные инструменты», билет - 200 рублей Волшебный пастуший рожок, берестяная флейта, манок, погремушка-шаркунок – часть удивительного мира карельских народных инструментов. На занятии Вы познакомитесь с историей берестяных музыкальных инструментов, их назначением и звучанием. 📎14:00 – «Нянины сказки», билет - 200 рублей На занятии окунемся в волшебный мир сказок Александра Сергеевича Пушкина. Вместе со сказочными героями будем прясть, стирать в корыте, гладить бельё, узнаем, что такое «светец», «кичка», «душегрея», чему равен аршин и многое другое.  🎉1 ноября 📎12:00 – «Животный мир Арктики», билет - 200 рублей Занятие расскажет о суровых условиях жизни в Арктике, разнообразии растительного и животного мира этой зоны и приспособлениях флоры и фауны к выживанию. 📎14:00 – «Хорошо ли жить в воде?», билет - 200 рублей Занятие о приспособлениях (непромокаемый мех и оперенье; органы передвижения, дыхания, зрения; водное размножение и развитие) разных групп животных к водному образу жизни.  #национальныймузейкарелии",2024-10-25 14:55:41,42,59,2888
19994,"3 и 4 ноября в Национальном музее Карелии состоится акция «Россия объединяет», приуроченная к акции «Ночь искусств» и Дню народного единства.   💥3 ноября:  Вход на постоянную экспозицию музея свободный    10:00 - 18:00 - Работа выставки «Сердце Повенецкого завода», вход свободный    10:00, 12:30, 15:00 - Экскурсии по экспозиции (по предварительной записи для групп)    11:30, 16:30 - Интерактивная программа «Карельская мозаика» (по предварительной записи для групп)    12:00 - Интерактивное занятие «Нянины сказки», билет - 200 рублей   14:00 - Интерактивная программа «Карельская мозаика», билет - 300 рублей    16:00 - Интерактивное занятие «Урок забытого труда», билет - 200 рублей   💥4 ноября:  12:00 - Интерактивное занятие «На Северных границах», билет - 200 рублей   13:00 - Мастер-класс «Олень», билет - 250 рублей    14:00 - Интерактивное занятие «Будни войны», билет - 200 рублей   14:30 - Мастер-класс «Роспись на холсте», билет - 250-400 рублей    15:00 - «Экскурсионная мозаика», билет - 400 рублей    16:00 - Мастер-класс «Роспись-магнит на холсте», билет - 300 рублей   Подробнее о мероприятиях можно прочитать на сайте музея - https://kareliamuseum.ru/news/6070/",2024-11-01 10:05:00,4,2,208
19991,"Какая же акция «Ночь искусств» без традиционной ночной лекции директора Национального музея Карелии Михаила Гольденберга?!  В этом году тема лекции - «Почему Джеймс Уатт работал из дома?».  О том, что ждет слушателей лекции на акции «Ночь искусств», а также что для посетителей приготовил музей 2, 3 и 4 ноября рассказывает Михаил Леонидович Гольденберг.  [https://vk.com/@-791498-noch1-iskuss4tv-v-nacionalnom-muzee-karelii|Полная программа акции], а о мероприятиях, которые состоятся в музее 3 и 4 ноября расскажем уже завтра.  #национальныймузейкарелии #ночьискусств #акции_нмрк",2024-10-31 16:44:21,86,22,1950
19989,"Собрали всю программу акции «Ночь искусств», которая состоится в Национальном музее Карелии 2 ноября.  Выбирайте, приходите и... оставайтесь с нами! ;)  #национальныймузейкарелии #ночьискусств #акции_нмрк",2024-10-31 09:58:47,19,21,1086
19988,"2 ноября в Национальном музее Карелии состоится акция «Ночь искусств».   [https://vk.com/naturalnoe_hozaystvo|Проект «Натуральное хозяйство 2024»] приглашает на цикл мероприятий:  🌔15:00, 16:00 - Интерактивное занятие «Урок забытого труда» (8+), билет - 200 рублей Участники интерактивного занятия узнают как из растения появляется нить и попробуют самостоятельно сделать льняное волокно для кудели при помощи макетов традиционных инструментов.  🌔15:00, 16:00 - Интерактивное занятие «У всякого хозяина свой порядок» (7+), билет - 200 рублей Посетители в игровой форме смогут ближе познакомиться с традиционными занятиями жителей Карелии, узнать в какое время лучше ходить в лес, почему там нельзя шуметь, кто рыбакам рыбу отпускает, что за птица запела в лесу, какой запах слышен со стороны леса, почему двери раньше не запирали? На занятии будут впервые использоваться новые экспонаты с запахами.  🌔17:00 - Подведение итогов III Республиканского конкурса «В натуре!» от проекта «Натуральное хозяйство 2024». Выступление семейного оркестра «Гудари» (0+), вход по бесплатным пригласительным билетам  🌔19:00 - Презентация фильма «Хутор Ивановых». Творческая встреча участников в рамках проекта «Натуральное хозяйство 2024» (0+), вход по бесплатным пригласительным билетам  Документальный фильм, который рассказывает о современных фермерах, ежедневных заботах и радостях, традиционном укладе хозяйствования в Карелии и как он изменился со временем. За красивой картинкой спрятан огромный труд человека и его бескрайняя любовь - к семье, своему краю, земле. Съемки фильма проходили на хуторе Ивановых в Лахденпохском районе Карелии. В этот день есть уникальная возможность пообщаться с участниками фильма - семьей Ивановых.  В кассе музея уже можно получить бесплатные пригласительные и купить билеты на мероприятия акции.   #национальныймузейкарелии #ночьискусств #акции_нмрк",2024-10-30 20:05:00,12,10,829
19987,"Внимание! Замена мастер-класса!  Уважаемые посетители, обращаем ваше внимание, что 2 ноября, в рамках акции «Ночь искусств» в 16:00 состоится мастер-класс «Кукла-капустка» вместо заявленного ранее «Травянчика». Стоиомсть билета - 200 рублей.  Кукла – самая древняя и наиболее популярная игрушка. Она обязательный спутник детских игр и самое доступное детям произведение искусства. Так ли проста кукла, с которой играли в далеком прошлом? На занятии познакомимся с особенностями изготовления, назначения и изготовления народной куклы-капустки – символа материнства.  #национальныймузейкарелии #ночьискусств #акции_нмрк",2024-10-30 17:05:00,7,7,1330
19981,"Акция «Ночь искусств» в Национальном музее Карелии состоится уже совсем скоро - 2 ноября.  Продолжаем знакомить с мероприятиями, которые можно (и нужно) посетить в эту субботу ;)  🌔15:00 - 21:30 - Выставка «Сердце Повенецкого завода» (0+), вход свободный Минивыставка «Сердце Повенецкого завода» - результат проекта «Новая жизнь старых руин: Петровские домны в Карелии», завершенного летом 2024 года. Четыре стенда выставки рассказывают о том, как появился завод на реке Повенчанке, как были устроены домны, кто работал на нем и какую продукцию производил. времени. Повенецкий пушечно-литейный и оружейный завод действовал с 1703 по 1736 год, был одним из четырёх государственных Олонецких заводов и вторым по времени основания, величине и мощности после Петровского завода на реке Лососинке.   🌔17:00 - Акция «Семейная реликвия» (10+), вход свободный В рамках акции участники расскажут о своей семье, о тех предметах, которые в их семье по праву считаются реликвиями: это могут быть предметы, имеющие отношение к одной персоне или целой семье, жизнь которых связана с историей Петрозаводска, Карелии, России.  🌔19:00 - Концерт ансамбля йоухиккистов «Pippurit» (6+), вход по бесплатным пригласительным билетам  Старинный музыкальный инструмент йоухикко заиграет в руках ансамбля «Пиппурит». Его звуки отнесут нас в стародавние времена, эпоху древних рун и сказаний. Мелодия йоухикко расскажет и о больших деревенских праздниках, и о боевых подвигах древней Корелы, о настоящих человеческих переживаниях, о любви и грусти. Здесь можно будет услышать ливвиковское наречие карельского языка: ученики финно-угорской школы и студент ПетрГУ перевоплотятся в мужчин трех поколений: старший сказ начинает, средний вопросы задает да на сказочном кантеле играет, а третий внимательно слушает. А когда наступит ночь услышим карельскую колыбельную, с помощью которой женщины прошлых столетий укладывали спать своих непоседливых малышей.  🗣Напоминаем, что купить билеты, а также получить бесплатные пригласительные билеты уже можно в кассе Национального музея Карелии  #национальныймузейкарелии #ночьискусств #акции_нмрк",2024-10-30 14:05:00,16,11,1544
19968,"Продолжаем рассказывать о мероприятиях акции «Ночь искусств», которая состоится в Национальном музее Карелии 2 ноября.  🌔15:00 - Авторская экскурсия по выставке «пл. Соборная – пл. Свободы – пл. Кирова - … История одной площади» (12+), билет - 200 рублей Площадь одна, а историй, которые она может рассказать – множество. Она как слепок отпечатывала на каждом своём квадратном метре следы исторического пути нашего города, края, страны. Сегодня и в предшествующие эпохи эти следы изучали архитекторы, историки, археологи, краеведы и музейщики. Результатом такого исследования стала выставка, на которой мы окунемся в научные изыскания «с головой», найдем ответы на интересующие нас вопросы и попробуем раскрыть некоторые секреты прошлого.  🌔15:00, 16:00, 17:00 - Интерактивное занятие «Животные в сказках А.С.Пушкина», билет - 200 рублей С детства каждый из нас помнит замечательные сказки А.С.Пушкина «О рыбаке и рыбке», «Мертвой царевне и семи богатырях», «Царе Салтане» и др. Его произведения учат нас добру и справедливости, высмеивают жадность, зависть, наказывают за зло. Главными персонажами сказок Пушкина являются животные - символы человеческих характеров и качеств. На занятии посетители вспомнят детские сказки и сравнят героев-животных с реальными представителями фауны нашего края, а в конце занятия участников ждет памятное творческое задание.  🌔17:00, 18:30, 20:00 - Квиз «Му[квиз]ей» (14+), билет - 200 рублей Всегда хотели поучаствовать в Квизе, но не было команды? Предлагаем поиграть в индивидуальный квиз и посоревноваться за звания лучшего «знатока Карелии». Квиз состоит из вопросов по истории и культуре края, а также из вопросов, отражающих интересные и неожиданные факты о Карелии.  Билеты уже можно приобрести в кассе Национального музея Карелии ;)  #национальныймузейкарелии #ночьискусств #акции_нмрк",2024-10-30 09:54:22,15,10,798
19962,"2 ноября Ночь искусств в Национальном музее Карелии!  Напоминаем, что билеты уже можно купить в кассе музея ;)  🌔15:00 - 21:30 - «Музейные бродилки», билет - 200 рублей Приглашаем прогуляться по залам постоянной экспозиции с путеводителем: отвечая на вопросы и выполняя задания, можно по-новому взглянуть на музейные экспонаты. Уверены, вы увидите и узнаете много нового и интересного!   🌔Мастер-классы: 15:00 - Мастер-класс «Креативные человечки» (4+), билет - 200 рублей 16:30 - Мастер-класс «Чайный домик» (6+), билет - 200 рублей 18:00 - Мастер-класс «Креативные зверушки» (4+), билет - 200 рублей 19:30 - Мастер-класс «Роспись ключницы “Джип”» (4+), билет - 200 рублей  Полная программа акции на сайте музея - https://kareliamuseum.ru/news/6008/  #национальныймузейкарелии #ночьискусств #акции_нмрк",2024-10-29 14:23:00,13,27,955
