id,text,date,likes,reposts,views
30,"📢13 февраля в Музее истории первого российского курорта «Марциальные воды» состоялось открытие выставки авторской романовской игрушки «Два Петра».  Выставку открыл директор Национального музея Республики Карелия Михаил Леонидович Гольденберг совместно с коллегами из Липецкой области.   Елена Александровна Колесникова – заместитель директора [https://vk.com/usadba_ryazanka|Музея-усадьбы П.П. Семёнова-Тян-Шанского] рассказала о зарождении проекта, объединившего историю двух выдающихся личностей – императора Петра I и исследователя Петра Петровича Семёнова-Тян-Шанского.   Елена Геннадьевна Смолеевская – старший научный сотрудник [https://vk.com/likm48|Липецкого историко-культурного музея], народный мастер России, член Союза художников РФ. Ученица последнего потомственного мастера романовской игрушки, перенявшая основы этого народного промысла, продемонстрировала работу игрушек-свистулек, сыграв и весеннюю закличку, и более сложные народные мелодии. Елена Смолеевская в своих работах обращается к народной памяти. На выставке представлены сюжеты о Петре Великом, в основе которых лежат и исторические данные, и даже легенды. Здесь можно встретить императора, поймавшего русалку, и даже бой Петра I с медведем. Всего на выставке будет представлено более 30 сюжетов, выполненных народными мастерами РФ Ольгой Волокитиной, Анастасией Короленко, Еленой Смолеевской.   Часть сюжетов сопровождаются qr-кодами, при сканировании которых посетители смогут посмотреть видеосказки о пребывании Петра I на Липецкой земле, написанные Еленой Смолеевской на основе легенд, или послушать радио-подкасты, в которых озвучены предания семьи Семеновых-Тян-Шанских на сюжеты, представленные на выставке.  📍Познакомиться с выставкой можно будет в Музее истории первого российского курорта «Марциальные воды» до 28 сентября 2025 года.  Подробная информация по телефону: (8142) 55-96-55 (доб. 107)",2025-02-14 13:58:22,20,3,302
28,"📌 13 февраля в филиале Национального музея Республики Карелия Музее истории первого российского курорта «Марциальные воды» начинает работать передвижная выставка авторской керамики «Два Петра», объединившая истории двух выдающихся личностей – императора Петра I и ученого-географа Петра Петровича Семенова-Тян-Шанского.  Выставка была организованная Липецким историко-культурным музеем и Музеем-усадьбой П.П. Семенова-Тян-Шанского в 2022 году, юбилейным сразу для двух исторических личностей – 350 лет со дня рождения Петра I и 195 лет со дня рождения П.П. Семенова-Тян-Шанского.  Экспозиция объединяет творчество народных мастеров романовской игрушки, хранящих традиции изготовления глиняных игрушек-свистулек, Ольги Волокитиной, Анастасии Короленко и Елены Смолеевской. Всего на выставке представлено 39 работ, каждая из которых посвящена отдельному сюжету из жизни Петра Великого и П.П. Семенова-Тян-Шанского.  Познакомиться с выставкой можно будет в Музее истории первого российского курорта «Марциальные воды» до 28 сентября 2025 года.",2025-02-03 12:06:00,13,4,245
27,,2025-01-13 13:17:46,10,3,187
26,"Уважаемые посетители!  Представляем Вам афишу лектория на январь.   Каждую среду в 15:00 в музее будут проходить лекции, посвященные краеведению, лечению на Марциальных Водах и истории петровского времени.  Лекции в январе:  📌15 января – «От древ и ветвей сосновых: празднование Нового года в России»  На лекции слушатели  узнают, как менялись новогодние традиции России на протяжении веков, почему новогодние ёлки ассоциировались в России с кабаками, и даже похоронами, и какова в этом роль Петра I.   📌22 января – «Понеже оные воды исцеляют: медицинские исследования марциальных вод» Слушатели узнают об исследованиях марциальной воды, проводимых в XVIII веке, которые положили начало работе первого российского курорта.    📌29 января – «Шунгит – чудо-камень?"". Лекция посвящена последним исследованиям, выполненным геологами – только проверенные факты об этой загадочной горной породе.  Лекции читают сотрудники музея «Марциальные воды».  Продолжительность лекции 40-60 минут. Группа до 15 человек  Билет 150 рублей  Подробная информация по телефону: (8142) 55-96-55 (доб. 107)",2025-01-10 15:53:44,6,3,223
25,❗️Режим работы в праздники    31 декабря - музей работает по предварительным заявкам  01 января - музей не работает  02 - 08 января - 10:00 - 17:00    Всем с наступающим Новым город ❄    Запись на экскурсии по телефону: (8142) 55-96-55 (доб. 107),2024-12-30 11:41:36,6,2,709
23,"Уже в эту среду, 25 декабря, состоятся последняя в этом году встреча в рамках работы лектория, посвящена она будет истории Нового года в России.  📌«От древ и ветвей сосновых: празднование Нового года в России» – вы узнаете, как менялись новогодние традиции России на протяжении веков, почему новогодние ёлки ассоциировались в России с кабаками, и даже похоронами, и какова в этом роль Петра I.   Началр лекции в 15:00, продолжительность 40-60 минут. Группа до 15 человек  Билет 150 рублей  Подробная информация по телефону: (8142) 55-96-55 (доб. 107)",2024-12-23 13:24:22,8,1,160
22,"Понедельник – прекрасное время, чтобы спланировать визит в музей.  Уже в эту среду, 18 декабря, в музее ""Марциальные воды"" состоится лекция ""Пётр I на первом российском курорте: лечение и досуг"".   Продолжительность лекции 40-60 минут. Группа до 15 человек  Билет 150 рублей  Подробная информация по телефону: (8142) 55-96-55 (доб. 107)",2024-12-16 15:50:03,8,3,505
21,"Друзья, у нас прекрасные новости!  В Музее истории Первого российского курорта «Марциальные воды» начинает работать лекторий.  Каждую среду в 15:00 в музее будут проходить лекции, посвященные краеведению, лечению на Марциальных Водах и истории петровского времени.  Лекции в декабре:  📌11 декабря – «Понеже оные воды исцеляют: медицинские исследования марциальных вод» Слушатели узнают об исследованиях марциальной воды, проводимых в XVIII веке, которые положили начало работе первого российского курорта.   📌18 декабря – «Петр I на первом российском курорте: лечение и досуг» Лекция посвящена пребыванию Петра Великого на Марциальных Водах, его окружению, а также особенностям лечения и его занятиям.   📌25 декабря – «От древ и ветвей сосновых: празднование Нового года в России»  На лекции слушатели  узнают, как менялись новогодние традиции России на протяжении веков, почему новогодние ёлки ассоциировались в России с кабаками, и даже похоронами, и какова в этом роль Петра I.   Лекции читают сотрудники музея «Марциальные воды».  Продолжительность лекции 40-60 минут. Группа до 15 человек  Билет 150 рублей  Подробная информация по телефону: (8142) 55-96-55 (доб. 107)",2024-12-10 10:06:41,19,8,296
20,,2024-11-04 16:07:37,5,0,135
19,,2024-10-09 18:44:41,4,0,127
