topic,relatedness,text,date,group,likes,reposts,views
карельский язык,0.3073,Karjalua kirouskielenä Карельские ругательства  Miksi raveissa ei kannata mennä takariviin istumaan?  No kun ei sieltä näe hevon vittuakaan.,2017-05-12 11:40:01,,3,2,307
карельский язык,0.3073,Karjalua kirouskielenä Карельские ругательства  Miksi raveissa ei kannata mennä takariviin istumaan?  No kun ei sieltä näe hevon vittuakaan.,2017-05-12 11:40:01,,3,2,307
карельский язык,0.3067,О диктате знают ....http://itar-tass.com/spb-news/1110440,2014-04-11 09:08:05,,1,0,0
карельский язык,0.3061,"Mitys tuohena, semmoini ropehena. (Какая береста, такой и туесок).",2016-11-07 23:31:00,,4,1,0
карельский язык,0.3061,"Mitys tuohena, semmoini ropehena. (Какая береста, такой и туесок).",2016-11-07 23:31:00,,4,1,0
карельский язык,0.3059,Moločča! 😃 #karjalankielennedäli #karjalankielennetäli,2024-04-16 14:09:00,,2,0,213
карельский язык,0.3058,#karjalankielennedäli #karjalankielennetäli 😃,2022-04-13 19:06:00,,3,0,239
карельский язык,0.3058,"#karjalankielennedäli #karjalankielennetäli с. Крошнозеро, Карелия",2022-04-11 13:03:37,,2,0,184
карельский язык,0.3058,#karjalankielennedäli #karjalankielennetäli 😃,2023-04-12 19:17:00,,0,0,190
карельский язык,0.3058,#karjalankielennedäli #karjalankielennetäli 😃,2022-04-15 12:45:31,,3,0,157
карельский язык,0.3056,#karjalankielennedäli #karjalankielennetäli 📰,2022-04-12 08:37:18,,7,0,207
карельский язык,0.3053,"Повесть ""Кузмич"" (на карельском, Тверской говор) http://docs.tverlib.ru/inlit/kuzmich.pdf",2015-01-15 23:11:12,,3,0,0
карельский язык,0.3053,"Повесть ""Кузмич"" (на карельском, Тверской говор) http://docs.tverlib.ru/inlit/kuzmich.pdf",2015-01-15 23:11:12,,3,0,0
карельский язык,0.3048,Karjalas pidäy olla oma karjalan kielen kehitändyprogruammu,2020-03-20 22:19:11,,5,2,435
карельский язык,0.3047,Repola - unohdettu vaihtomaa,2013-09-18 19:29:12,,4,0,0
карельский язык,0.3047,Repola - unohdettu vaihtomaa,2013-09-18 19:29:12,,4,0,0
карельский язык,0.304,Piiteri...Ukko tulta isköy Питер...Укко-огневержец,2019-06-26 17:28:18,,9,0,215
карельский язык,0.304,Bompa Talo Bompa house Дом Бомбиных (копия).,2015-04-28 00:42:32,,0,0,0
карельский язык,0.304,Bompa Talo Bompa house Дом Бомбиных (копия).,2015-04-28 00:42:32,,0,0,0
карельский язык,0.304,Piiteri...Ukko tulta isköy Питер...Укко-огневержец,2019-06-26 17:28:18,,9,0,215
карельский язык,0.3039,Kižin-šuarella paissah karjalakši!  http://kizhi.karelia.ru/whatson/konkursyi/651/10341.html,2016-08-26 12:28:52,,4,1,0
карельский язык,0.3021,"Karjalaisista runoloista tunnettu Vipuni... Випунен, известный по карельским рунам...(https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BF%D1%83%D0%BD%D0%B5%D0%BD)",2020-09-16 11:45:52,,13,2,477
карельский язык,0.3021,"Karjalaisista runoloista tunnettu Vipuni... Випунен, известный по карельским рунам...(https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BF%D1%83%D0%BD%D0%B5%D0%BD)",2020-09-16 11:45:52,,13,2,477
карельский язык,0.3019,Kevättämärven majavat Кевятозерские бобры,2017-08-23 12:49:58,,3,0,142
карельский язык,0.3019,Kevättämärven majavat Кевятозерские бобры,2017-08-23 12:49:58,,3,0,142
карельский язык,0.3013,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Ливвиковское наречие карельского языка. Урок 8 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-09-06 18:55:00,,1,3,529
карельский язык,0.3012,"Kakkarua hillon kera, lisäksi potakkarieskua...mujehta potakan kera",2023-10-28 23:52:12,,26,5,589
карельский язык,0.3012,Tunguon karjalaisista О тунгудских карелах,2025-02-10 01:28:34,,9,5,378
карельский язык,0.3012,"Kakkarua hillon kera, lisäksi potakkarieskua...mujehta potakan kera",2023-10-28 23:52:12,,26,5,597
карельский язык,0.3011,Киндасовский разгуляй - Литовский танец,2012-06-21 16:58:31,,3,0,0
карельский язык,0.301,"...näin oravaini piätä elättäy... так белка кормится (букв. ""голову кормит"").",2019-08-19 18:58:36,,9,2,275
карельский язык,0.301,"...näin oravaini piätä elättäy... так белка кормится (букв. ""голову кормит"").",2019-08-19 18:58:36,,9,2,275
карельский язык,0.3009,"По-карельски слово ""молот"" будет звучать как ""вазара"" - vazara (фин. vasara)",2009-02-09 02:24:37,,0,0,0
карельский язык,0.3009,"По-карельски слово ""молот"" будет звучать как ""вазара"" - vazara (фин. vasara)",2009-02-09 02:24:37,,0,0,0
