topic,relatedness,text,date,group,likes,reposts,views
благоустройство,0.3461,"Продолжаем реконструкцию региональной трассы от Петрозаводска до Суоярви. В этом году приводим в порядок очередной участок – с 25 по 33 километр. По сути, строим здесь новую дорогу. Уже заасфальтирована бóльшая ее часть – порядка 80 процентов. Завершить укладку асфальта подрядчик, «ПСК Строитель», планирует в течение месяца.    Параллельно дорожники делают тротуары, поскольку вокруг есть дачные поселки, пешеходные дорожки вдоль проезжей части, устанавливают опоры освещения, остановки общественного транспорта.    Напомню, на этой дороге мы уже реконструировали два моста через р. Сяпся и Кутижма. Третий, через р. Чална, сдаем в этом году. И приступаем к реконструкции четвертого – через р. Шую в Суоярвском районе (115-й километр). Подрядчик закупает материалы, завозит их на объект.    #ДорогиКарелии",2023-07-06 13:03:00,,316,33,30743
благоустройство,0.3457,"🛠 И в будни, и в праздники   Работы на мосту по ул. Мерецкова идут каждый день. Результат виден на фото: старый мост постепенно уходит в историю.   Строители демонтируют пролеты и приступают к установке наливных свай для новой переправы.    Реконструкцию мы начали в конце марта. По планам этот важный для Петрозаводска объект подрядчик, компания ВАД, должен сдать в 2026 году.    Очень ждем!  #ДорогиКарелии",2024-05-14 14:00:02,,212,51,19606
благоустройство,0.3455,"В рамках национального проекта «Безопасные и качественные автомобильные дороги» начат ремонт автомобильной дороги «Подъезд к водопаду Кивач» (км 0+000 – км 7+131). Кондопожское ДРСУ очищает канавы и кюветы, фрезерует старое покрытие. Затем нанесут выравнивающий слой и уложат новое покрытие. Сейчас на участке работают пять единиц техники. Стоимость контракта – 73 млн рублей. В соответствии с его условиям, ответственная организация после ремонта будет содержать дорогу три года до 31 декабря 2022 года.  В процессе ремонта созданы все условия, чтобы можно было с комфортом добраться до водопада Кивач. Дорогу к одной из главных достопримечательностей Карелии планируют отремонтировать к 30 сентября текущего года.  #нацпроекты #дорогиКарелии #ГлаваКарелии #АртурПарфенчиков",2019-07-24 17:40:30,,107,6,8580
благоустройство,0.3447,"🚧 Ставим временный мост через реку Шую – подрядчик должен управиться к началу октября. Старый мост будем демонтировать и возводить новый. Вот такие планы по переправе на 115-м км автодороги Петрозаводск — Суоярви.  Работу на этом участке подрядчик начал в июле и завершить планирует летом 2024 года. После реконструкции мост станет и шире, и длиннее, что создаст более комфортные условия для движения транспорта.  Новый мост – это еще один этап реконструкции дороги Петрозаводск-Суоярви. В этом году приводим в порядок участок с 25-го по 33-й километр. Работы масштабные, трассу приходится отстраивать заново. Ремонтируем на средства нацпроекта «Безопасные качественные дороги» и бюджета республики. Более 90 км этой автодороги мы обновили ранее.  #ДорогиКарелии",2023-08-15 09:03:00,,188,14,27578
благоустройство,0.3444,"Компания «ПСК Строитель» продолжает возводить мост через реку Сяпся на трассе «Петрозаводск – Суоярви». Работы идут с опережением графика.  Мост будет железобетонный, балочный. На его строительство из республиканского бюджета выделено 280 млн рублей. Уже установлены опоры и пролеты, заасфальтирована проезжая часть, смонтированы ограждения, очищены полоса отвода и пути подъезда. Срок окончания всех работ, в том числе и благоустройства прилегающей территории, – 30 июня 2022 года. Но движение по новому мосту откроем раньше – в сентябре этого года.   Жители также много пишут мне про другие мосты, которые нуждаются в ремонте. Знаю про каждый. Так, в рамках ФЦП ведется строительство трех мостовых переходов через реку Тереонкоски на 106 км, через реку Журавлева на 128 км и через реку Семча на 133 км автомобильной дороги «Суоярви – Юстозеро (через Поросозеро) – Медвежьегорск». Все работы будут завершены в текущем году.  Далее мы начнём работы и на других объектах, нуждающихся в ремонте.  #НашаКарелия #ДорогиКарелии",2021-08-24 12:30:51,,157,13,20263
благоустройство,0.3443,"С самого трудного, 25-километрового участка, начинаем капитальный ремонт дороги от трассы «Кола» через Тикшу и Ледмозеро до Костомукши и границы с Финляндией.   Конкурс выиграла компания «ВАД». Дорожники завезли технику, сейчас снимают то, что осталось от старого покрытия, занимаются расчисткой полосы отвода. В течение года – до следующей осени – этот участок будет приведен в нормативное состояние. Я бы даже сказал, 25 худших километров станут лучшими на всем протяжении дороги. По крайней мере до тех пор, пока не будут сделаны следующие участки.  А в следующем году планируется начать ремонт участка с 205 по 232 километр и капитальный ремонт двух мостов: через речки Пизма и Чирко-Кемь.  Кроме того, по информации Сергея Маркова, заместителя начальника «Упрдор» «Кола», готова и направлена на госэкспертизу проектная документации на капремонт еще 30 километров: с 76 по 106 км. Здесь работы должны начаться в 2023 году.  #ДорогиКарелии",2021-09-16 12:30:01,,381,208,46536
благоустройство,0.3427,"Это мост в поселке Шуя – продолжаем его реконструкцию. Работы идут в графике.    Подрядчик уже демонтировал старый мост и установил временную переправу.    Сейчас идет самый сложный этап работ – устройство русловых и береговых опор. Затем строители перейдут к пролетным строениям.    Работы обещают завершить следующим летом. После реконструкции мост станет шире и длиннее. Увеличатся и проезжая часть, и тротуары.  #ДорогиКарелии",2023-10-17 09:15:00,,350,30,33592
благоустройство,0.3404,"🚧 Реконструкция моста через Верхнюю Седоксу в Олонецком районе – на финишной прямой  Дорожники уложили асфальт на проезжей части и тротуарах, провели земляные работы на подходах к мосту, чтобы стоки с дороги не попадали в реку, а уходили в очистные сооружения.   Сейчас идёт монтаж линии освещения, установка экранов для подавления шума и благоустройство территории.   Движение по мосту уже запустили, работы выполняют по нацпроекту «Безопасные качественные дороги», сдать объект подрядчик планирует до 1 августа.  #Нацпроект #НашаКарелия",2024-07-03 14:15:00,,121,5,10780
благоустройство,0.3403,"В рамках нацпроекта «Безопасные и качественные автомобильные дороги» продолжается ремонт участка автодороги «Шуйская-Гирвас» км 0+000 – км 46+500. На сегодняшний день подрядчик заменил 66 водопропускных труб, на двух участках общей протяженностью более 17 км уложил выравнивающий и верхний слои асфальтобетонного покрытия, на участке за деревней Царевичи провел работы по устройству дорожной одежды для установки пункта весового контроля.  Одновременно, впервые за многие годы, полосу отвода этой дороги очищают от древесно-кустарниковой растительности и травы. В дальнейшем это облегчит снегоочистку и улучшит водоотвод. Работы планируют завершить до 15 ноября.    #дорогиКарелии #нацпроектывКарелии #ГлаваКарелии #АртурПарфенчиков",2019-08-08 09:03:01,,121,6,6985
благоустройство,0.3398,"🚗 Этой весной начинаем реконструкцию моста на улице Маршала Мерецкова.    Подрядчик определён – это будет компания ВАД. Строителям предстоит большая работа: нужно не только демонтировать старый мост, но и проложить по новой коммуникации, ливнёвку, и только после этого начать строительство переправы. Она, кстати, будет шире и длиннее нынешней, что увеличит пропускную способность в разы.    Движение транспорта будет перекрыто ориентировочно с марта. Пути объезда совместно с ГИБДД организуем, но понимаем, что нагрузка на прилегающие магистрали вырастет. Но тут уж нам всем придется набраться терпения!  #НашаКарелия",2024-01-24 09:03:00,,300,89,22909
