id,text,date,likes,reposts,views
9009,"Первый день ""Прилукинских чтений"" - в небольшом ролике😊",2024-10-19 13:05:34,131,5,826
9008,"ПРИЛУКИНСКИЕ ЧТЕНИЯ  🔥 Вот и прошли два незабываемых дня краеведческой конференции ""Прилукинские чтения""! Два дня, наполненных событиями: 21 увлекательный доклад и выступление, более 30 участников из Олонца, Мегреги, Видлицы, Костомукши, Пряжи и Петрозаводска, более 160 слушателей. Здорово, что в конференции приняли активное участие юные исследователи. Сотрудники Олонецкого национального музея представили свои доклады по теме карельского огорода.    Гости посетили пешеходную экскурсию ""Олонец — не леденец..."", побывали на открытии новой выставки ""Тайные лабиринты предков"". Особый интерес вызвала не только сама выставка, но и интерактивные элементы экскурсии: гости смогли попробовать себя в роли исследователей, изучая старинные фотографии и предметы, а также разгадывая загадки.    Кульминацией ""Прилукинских чтений"" станет издание сборника научных статей, докладов и материалов, представленных на конференции. Этот сборник, планируемый к печати, обещает стать ценным источником информации для историков, краеведов, генеалогов и всех, кто интересуется историей Карелии и Олонецкого края.   📷 [id2857185|Алексей Фариев]    #Карелия #Олонец #ОлонецкийНациональныйМузей #КарельскийОгород #ФондКультурныхИнициатив",2024-10-18 19:57:17,299,19,2465
9006,"ПРИЛУКИНСКИЕ ЧТЕНИЯ    ❗Уже завтра, 17 октября, в Олонце начнутся вторые «Прилукинские чтения». Свои доклады представят юные исследователи, преподаватели и студенты Петрозаводского государственного университета, краеведы, музейные специалисты из Петрозаводска, Костомукши, Пряжи, Мегреги, Видлицы и Олонца.  ✅Место проведения: Центр дополнительного образования г. Олонец, ул. Урицкого, д. 9. Приглашаем желающих окунуться в историю, языкознание, в традиции предков. Смотрим в карточках темы заявленных докладов и список участников.   #Карелия #Олонец #ОлонецкийНациональныйМузей #КарельскийОгород #ФондКультурныхИнициатив",2024-10-16 16:00:01,241,17,3065
